Arquivo;Classe Real;Classe Prevista;Probabilidade Fake (%);Confiança (%);Resultado
3063.txt;Fake;Fake;86.33;86.33;Acerto
3064.txt;Fake;Fake;89.33;89.33;Acerto
3065.txt;Fake;Fake;84.33;84.33;Acerto
3066.txt;Fake;Fake;86.0;86.0;Acerto
3067.txt;Fake;Fake;97.33;97.33;Acerto
3068.txt;Fake;Fake;94.33;94.33;Acerto
3069.txt;Fake;Fake;55.0;55.0;Acerto
3070.txt;Fake;Fake;82.33;82.33;Acerto
3071.txt;Fake;Fake;86.67;86.67;Acerto
3072.txt;Fake;Fake;92.67;92.67;Acerto
3073.txt;Fake;Fake;97.33;97.33;Acerto
3074.txt;Fake;Fake;77.67;77.67;Acerto
3075.txt;Fake;Fake;86.0;86.0;Acerto
3076.txt;Fake;Fake;97.33;97.33;Acerto
3077.txt;Fake;Fake;93.67;93.67;Acerto
3078.txt;Fake;Fake;96.33;96.33;Acerto
3079.txt;Fake;Fake;93.0;93.0;Acerto
3080.txt;Fake;Fake;86.33;86.33;Acerto
3081.txt;Fake;Fake;93.67;93.67;Acerto
3082.txt;Fake;Fake;80.0;80.0;Acerto
3083.txt;Fake;Fake;84.0;84.0;Acerto
3084.txt;Fake;Fake;92.67;92.67;Acerto
3085.txt;Fake;Fake;90.33;90.33;Acerto
3086.txt;Fake;Fake;96.33;96.33;Acerto
3087.txt;Fake;Fake;98.67;98.67;Acerto
3088.txt;Fake;Fake;90.0;90.0;Acerto
3089.txt;Fake;Fake;89.33;89.33;Acerto
3090.txt;Fake;Fake;71.0;71.0;Acerto
3091.txt;Fake;Fake;86.67;86.67;Acerto
3092.txt;Fake;Fake;76.0;76.0;Acerto
3093.txt;Fake;Fake;86.67;86.67;Acerto
3094.txt;Fake;Fake;80.0;80.0;Acerto
3095.txt;Fake;Fake;96.0;96.0;Acerto
3096.txt;Fake;Fake;67.67;67.67;Acerto
3097.txt;Fake;Fake;93.0;93.0;Acerto
3098.txt;Fake;Fake;80.67;80.67;Acerto
3099.txt;Fake;Fake;94.67;94.67;Acerto
3100.txt;Fake;Fake;85.33;85.33;Acerto
3101.txt;Fake;Fake;90.33;90.33;Acerto
3102.txt;Fake;Fake;96.0;96.0;Acerto
3103.txt;Fake;Fake;75.0;75.0;Acerto
3104.txt;Fake;Fake;78.67;78.67;Acerto
3105.txt;Fake;Fake;96.33;96.33;Acerto
3106.txt;Fake;Fake;87.0;87.0;Acerto
3107.txt;Fake;Fake;88.0;88.0;Acerto
3108.txt;Fake;Verdadeira;41.67;58.33;Erro
3109.txt;Fake;Fake;88.67;88.67;Acerto
3110.txt;Fake;Fake;93.67;93.67;Acerto
3111.txt;Fake;Fake;83.0;83.0;Acerto
3112.txt;Fake;Fake;73.33;73.33;Acerto
3113.txt;Fake;Fake;91.0;91.0;Acerto
3114.txt;Fake;Fake;77.0;77.0;Acerto
3115.txt;Fake;Fake;64.33;64.33;Acerto
3116.txt;Fake;Fake;73.33;73.33;Acerto
3117.txt;Fake;Fake;83.33;83.33;Acerto
3118.txt;Fake;Fake;80.33;80.33;Acerto
3119.txt;Fake;Fake;86.67;86.67;Acerto
3120.txt;Fake;Fake;90.33;90.33;Acerto
3121.txt;Fake;Fake;95.0;95.0;Acerto
3122.txt;Fake;Fake;86.0;86.0;Acerto
3123.txt;Fake;Fake;56.67;56.67;Acerto
3124.txt;Fake;Fake;88.67;88.67;Acerto
3125.txt;Fake;Fake;75.0;75.0;Acerto
3126.txt;Fake;Fake;91.33;91.33;Acerto
3127.txt;Fake;Fake;56.0;56.0;Acerto
3128.txt;Fake;Fake;93.33;93.33;Acerto
3129.txt;Fake;Fake;82.33;82.33;Acerto
3130.txt;Fake;Fake;73.67;73.67;Acerto
3131.txt;Fake;Fake;86.0;86.0;Acerto
3132.txt;Fake;Fake;94.67;94.67;Acerto
3133.txt;Fake;Fake;89.0;89.0;Acerto
3134.txt;Fake;Fake;97.67;97.67;Acerto
3135.txt;Fake;Verdadeira;8.0;92.0;Erro
3136.txt;Fake;Fake;73.0;73.0;Acerto
3137.txt;Fake;Fake;91.67;91.67;Acerto
3138.txt;Fake;Fake;95.0;95.0;Acerto
3139.txt;Fake;Fake;78.67;78.67;Acerto
