Arquivo/ID;Classe Real;Classe Prevista;Probabilidade Fake (%);Confiança (%);Resultado;Texto
fake_ia_2;Fake;Fake;75.0;75.0;Acerto;Secretaria de Planejamento de Pantanal do Horizonte encaminhou mudança em programa de energia solar. A decisão foi comunicada nesta semana em Porto Nascente, após reunião extraordinária realizada durante a madrugada. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 18 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A medida gerou reação entre entidades civis, que pediram maior transparência no processo. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_3;Fake;Fake;82.0;82.0;Acerto;Conselho Fiscal Estadual de Porto Celeste iniciou mudança em orçamento público. A decisão foi comunicada nesta semana em Nova Brisa, em meio a questionamentos de representantes comunitários. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 42 milhões e deverá ser reavaliada em 90 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Moradores relataram preocupação com possíveis atrasos na execução do programa. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_4;Fake;Fake;74.0;74.0;Acerto;Assembleia Estadual de Mata Clara suspendeu mudança em centros digitais comunitários. A decisão foi comunicada nesta semana em Porto Nascente, em sessão marcada por protestos de servidores e estudantes. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A secretaria responsável declarou que os números ainda passam por revisão técnica. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_5;Fake;Fake;70.67;70.67;Acerto;Secretaria de Planejamento de Solim Verde encaminhou mudança em transporte intermunicipal. A decisão foi comunicada nesta semana em Vila Serena, sem consulta pública prévia, segundo moradores ouvidos pela imprensa local. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em até o fim do semestre. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A secretaria responsável declarou que os números ainda passam por revisão técnica. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_6;Fake;Fake;77.33;77.33;Acerto;Comitê de Transparência Pública de Vale das Andorinhas aprovou mudança em plano de segurança. A decisão foi comunicada nesta semana em Jardim das Pontes, em sessão marcada por protestos de servidores e estudantes. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em 60 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Parlamentares da oposição solicitaram a abertura de uma comissão para acompanhar o caso. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_7;Fake;Fake;70.67;70.67;Acerto;Gabinete Estadual de Montes de Ibiara divulgou mudança em programa de energia solar. A decisão foi comunicada nesta semana em Santa Alvorada, sem consulta pública prévia, segundo moradores ouvidos pela imprensa local. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 42 milhões e deverá ser reavaliada em 60 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A medida gerou reação entre entidades civis, que pediram maior transparência no processo. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_8;Fake;Fake;80.0;80.0;Acerto;Secretaria de Planejamento de Alto Jacarandá revisou mudança em sistema de bolsas estudantis. A decisão foi comunicada nesta semana em Vila Serena, após auditoria preliminar identificar inconsistências administrativas. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 42 milhões e deverá ser reavaliada em 60 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A secretaria responsável declarou que os números ainda passam por revisão técnica. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_9;Fake;Fake;70.0;70.0;Acerto;Secretaria de Administração de Nova Esperança do Sul bloqueou mudança em reforma administrativa. A decisão foi comunicada nesta semana em Porto Nascente, sem consulta pública prévia, segundo moradores ouvidos pela imprensa local. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. O governo estadual afirmou que divulgará novos documentos nas próximas semanas. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_10;Fake;Fake;81.0;81.0;Acerto;Agência de Desenvolvimento Regional de Vale do Cedro bloqueou mudança em merenda escolar. A decisão foi comunicada nesta semana em Porto Nascente, com justificativa de acelerar a execução de projetos regionais. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Especialistas ouvidos por veículos locais apontaram falta de clareza nos critérios utilizados. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_11;Fake;Fake;76.67;76.67;Acerto;Gabinete Estadual de Vale das Andorinhas revisou mudança em sistema de bolsas estudantis. A decisão foi comunicada nesta semana em Porto Nascente, sem consulta pública prévia, segundo moradores ouvidos pela imprensa local. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em 60 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Especialistas ouvidos por veículos locais apontaram falta de clareza nos critérios utilizados. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_12;Fake;Fake;78.33;78.33;Acerto;Agência de Desenvolvimento Regional de Serra das Laranjeiras bloqueou mudança em obras viárias. A decisão foi comunicada nesta semana em Porto Nascente, após auditoria preliminar identificar inconsistências administrativas. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. O governo estadual afirmou que divulgará novos documentos nas próximas semanas. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_13;Fake;Fake;77.67;77.67;Acerto;Secretaria de Infraestrutura de Pantanal do Horizonte reabriu mudança em merenda escolar. A decisão foi comunicada nesta semana em Vila Serena, sob alegação de necessidade de contenção de gastos. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em 90 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Moradores relataram preocupação com possíveis atrasos na execução do programa. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_14;Fake;Fake;68.67;68.67;Acerto;Conselho de Contas Estadual de Alto Jacarandá apresentou mudança em plano de segurança. A decisão foi comunicada nesta semana em Jardim das Pontes, sem consulta pública prévia, segundo moradores ouvidos pela imprensa local. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 18 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A medida gerou reação entre entidades civis, que pediram maior transparência no processo. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_15;Fake;Fake;79.33;79.33;Acerto;Agência de Desenvolvimento Regional de Litoral de Estrela aprovou mudança em programa de energia solar. A decisão foi comunicada nesta semana em Nova Brisa, em sessão marcada por protestos de servidores e estudantes. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em 90 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Moradores relataram preocupação com possíveis atrasos na execução do programa. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_16;Fake;Fake;74.33;74.33;Acerto;Secretaria de Infraestrutura de Mata Clara anunciou mudança em auxílio emergencial regional. A decisão foi comunicada nesta semana em Vila Serena, sem consulta pública prévia, segundo moradores ouvidos pela imprensa local. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Representantes municipais afirmaram que a decisão pode afetar serviços essenciais. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_17;Fake;Fake;75.33;75.33;Acerto;Conselho de Contas Estadual de Ilha de Miramar anunciou mudança em concurso público estadual. A decisão foi comunicada nesta semana em Jardim das Pontes, após relatório interno apontar divergências nos dados apresentados. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 250 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. O governo estadual afirmou que divulgará novos documentos nas próximas semanas. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_18;Fake;Fake;77.33;77.33;Acerto;Secretaria de Infraestrutura de Pedra Serena divulgou mudança em programa de energia solar. A decisão foi comunicada nesta semana em Nova Brisa, com previsão de impacto financeiro imediato no orçamento do próximo trimestre. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 42 milhões e deverá ser reavaliada em até o fim do semestre. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. A secretaria responsável declarou que os números ainda passam por revisão técnica. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_19;Fake;Fake;78.0;78.0;Acerto;Conselho Fiscal Estadual de Aurora do Norte apresentou mudança em contratos de infraestrutura. A decisão foi comunicada nesta semana em Porto Nascente, após reunião extraordinária realizada durante a madrugada. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 60 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Parlamentares da oposição solicitaram a abertura de uma comissão para acompanhar o caso. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_20;Fake;Fake;73.0;73.0;Acerto;Comissão de Obras Públicas de Vale das Andorinhas ampliou mudança em obras viárias. A decisão foi comunicada nesta semana em Nova Brisa, sem consulta pública prévia, segundo moradores ouvidos pela imprensa local. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 120 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Parlamentares da oposição solicitaram a abertura de uma comissão para acompanhar o caso. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_21;Fake;Fake;77.0;77.0;Acerto;Conselho de Contas Estadual de Campos de Arandú apresentou mudança em fundo agrícola. A decisão foi comunicada nesta semana em Nova Brisa, com justificativa de acelerar a execução de projetos regionais. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em até o fim do semestre. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. O governo estadual afirmou que divulgará novos documentos nas próximas semanas. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_22;Fake;Fake;79.0;79.0;Acerto;Comissão de Obras Públicas de Ilha de Miramar iniciou mudança em obras viárias. A decisão foi comunicada nesta semana em Campos Claros, em meio a questionamentos de representantes comunitários. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 120 milhões e deverá ser reavaliada em 60 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Representantes municipais afirmaram que a decisão pode afetar serviços essenciais. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_23;Fake;Fake;78.67;78.67;Acerto;Comitê de Transparência Pública de Porto Celeste divulgou mudança em transporte intermunicipal. A decisão foi comunicada nesta semana em Nova Brisa, em meio a questionamentos de representantes comunitários. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 76 milhões e deverá ser reavaliada em 30 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Parlamentares da oposição solicitaram a abertura de uma comissão para acompanhar o caso. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
fake_ia_24;Fake;Fake;78.0;78.0;Acerto;Comissão de Obras Públicas de Pantanal do Horizonte divulgou mudança em programa de energia solar. A decisão foi comunicada nesta semana em Santa Alvorada, após reunião extraordinária realizada durante a madrugada. De acordo com a nota divulgada pelo órgão, a alteração envolve recursos estimados em R$ 18 milhões e deverá ser reavaliada em 45 dias. A proposta prevê mudanças nos critérios de execução, fiscalização e distribuição dos recursos destinados ao programa. Parlamentares da oposição solicitaram a abertura de uma comissão para acompanhar o caso. Apesar da repercussão, o texto oficial não apresentou todos os documentos que embasaram a medida, o que motivou pedidos de esclarecimento por parte de lideranças locais.
