Arquivo;Classe Real;Classe Prevista;Score SVM;Distância Absoluta do Hiperplano;Probabilidade Fake (%);Confiança (%);Resultado
2791.txt;Fake;Verdadeira;-0.013055145368758403;0.013055145368758403;49.67;50.33;Erro
2910.txt;Verdadeira;Verdadeira;-0.021035448630581488;0.021035448630581488;49.47;50.53;Acerto
2999.txt;Verdadeira;Fake;0.0233469803529065;0.0233469803529065;50.58;50.58;Erro
2641.txt;Fake;Fake;0.036080788843990685;0.036080788843990685;50.9;50.9;Acerto
2577.txt;Fake;Verdadeira;-0.03842121991343328;0.03842121991343328;49.04;50.96;Erro
2988.txt;Fake;Fake;0.03912872866600603;0.03912872866600603;50.98;50.98;Acerto
3006.txt;Fake;Fake;0.042658783842133285;0.042658783842133285;51.07;51.07;Acerto
3030.txt;Fake;Fake;0.052721924084782934;0.052721924084782934;51.32;51.32;Acerto
2633.txt;Fake;Fake;0.06977188087974762;0.06977188087974762;51.74;51.74;Acerto
2676.txt;Verdadeira;Fake;0.0743849847662661;0.0743849847662661;51.86;51.86;Erro
2557.txt;Verdadeira;Verdadeira;-0.07448270211766062;0.07448270211766062;48.14;51.86;Acerto
2703.txt;Fake;Verdadeira;-0.0749469816713102;0.0749469816713102;48.13;51.87;Erro
2709.txt;Verdadeira;Fake;0.09189119698053272;0.09189119698053272;52.3;52.3;Erro
2784.txt;Verdadeira;Verdadeira;-0.1037153518136047;0.1037153518136047;47.41;52.59;Acerto
2909.txt;Verdadeira;Verdadeira;-0.10403704420667381;0.10403704420667381;47.4;52.6;Acerto
2741.txt;Fake;Verdadeira;-0.10519522497091405;0.10519522497091405;47.37;52.63;Erro
2588.txt;Fake;Fake;0.1053284415685356;0.1053284415685356;52.63;52.63;Acerto
2840.txt;Verdadeira;Fake;0.11843610482194;0.11843610482194;52.96;52.96;Erro
3041.txt;Fake;Fake;0.12676710377693645;0.12676710377693645;53.16;53.16;Acerto
2708.txt;Verdadeira;Verdadeira;-0.1284111537128374;0.1284111537128374;46.79;53.21;Acerto
2736.txt;Verdadeira;Fake;0.13109486530390413;0.13109486530390413;53.27;53.27;Erro
2532.txt;Fake;Fake;0.13367228481704663;0.13367228481704663;53.34;53.34;Acerto
2541.txt;Fake;Verdadeira;-0.14228095425112297;0.14228095425112297;46.45;53.55;Erro
2742.txt;Verdadeira;Fake;0.15017721002987194;0.15017721002987194;53.75;53.75;Erro
2627.txt;Fake;Fake;0.16281403355746105;0.16281403355746105;54.06;54.06;Acerto
2886.txt;Verdadeira;Verdadeira;-0.1699761701385052;0.1699761701385052;45.76;54.24;Acerto
2997.txt;Fake;Fake;0.18222949164414404;0.18222949164414404;54.54;54.54;Acerto
2755.txt;Fake;Fake;0.20830266764204874;0.20830266764204874;55.19;55.19;Acerto
2582.txt;Fake;Fake;0.2134409202359404;0.2134409202359404;55.32;55.32;Acerto
2658.txt;Verdadeira;Verdadeira;-0.21495328660788537;0.21495328660788537;44.65;55.35;Acerto
2693.txt;Fake;Fake;0.21714209275441432;0.21714209275441432;55.41;55.41;Acerto
2847.txt;Verdadeira;Verdadeira;-0.2274231272956433;0.2274231272956433;44.34;55.66;Acerto
2533.txt;Verdadeira;Fake;0.2293259501930749;0.2293259501930749;55.71;55.71;Erro
2980.txt;Fake;Fake;0.23224745362402155;0.23224745362402155;55.78;55.78;Acerto
2773.txt;Verdadeira;Verdadeira;-0.23401844937929583;0.23401844937929583;44.18;55.82;Acerto
2798.txt;Fake;Fake;0.2481467609835497;0.2481467609835497;56.17;56.17;Acerto
2912.txt;Fake;Fake;0.25765398820210716;0.25765398820210716;56.41;56.41;Acerto
2720.txt;Verdadeira;Verdadeira;-0.26526925408028434;0.26526925408028434;43.41;56.59;Acerto
2687.txt;Fake;Fake;0.2652716029896669;0.2652716029896669;56.59;56.59;Acerto
2899.txt;Fake;Verdadeira;-0.27021068908347035;0.27021068908347035;43.29;56.71;Erro
2609.txt;Verdadeira;Verdadeira;-0.2786883477353288;0.2786883477353288;43.08;56.92;Acerto
2914.txt;Verdadeira;Verdadeira;-0.2825558702293316;0.2825558702293316;42.98;57.02;Acerto
2805.txt;Verdadeira;Verdadeira;-0.28280934480736786;0.28280934480736786;42.98;57.02;Acerto
2618.txt;Fake;Fake;0.29878087820434107;0.29878087820434107;57.41;57.41;Acerto
2522.txt;Fake;Fake;0.3041610498560632;0.3041610498560632;57.55;57.55;Acerto
2985.txt;Verdadeira;Verdadeira;-0.30750060906912147;0.30750060906912147;42.37;57.63;Acerto
2555.txt;Fake;Fake;0.3087157852557889;0.3087157852557889;57.66;57.66;Acerto
2613.txt;Fake;Fake;0.3139587529849617;0.3139587529849617;57.79;57.79;Acerto
3037.txt;Fake;Fake;0.3187711136095519;0.3187711136095519;57.9;57.9;Acerto
3040.txt;Fake;Fake;0.322625132897036;0.322625132897036;58.0;58.0;Acerto
