Arquivo;Classe Real;Classe Prevista;Score SVM;Distância Absoluta do Hiperplano;Probabilidade Fake (%);Confiança (%);Resultado
2521.txt;Fake;Fake;0.936477;0.936477;71.84;71.84;Acerto
2522.txt;Fake;Fake;0.304161;0.304161;57.55;57.55;Acerto
2523.txt;Fake;Fake;0.634722;0.634722;65.36;65.36;Acerto
2524.txt;Fake;Fake;0.479236;0.479236;61.76;61.76;Acerto
2525.txt;Fake;Fake;0.686399;0.686399;66.52;66.52;Acerto
2526.txt;Fake;Fake;1.314473;1.314473;78.83;78.83;Acerto
2527.txt;Fake;Fake;0.867342;0.867342;70.42;70.42;Acerto
2528.txt;Fake;Fake;1.210208;1.210208;77.03;77.03;Acerto
2529.txt;Fake;Fake;1.464281;1.464281;81.22;81.22;Acerto
2530.txt;Fake;Fake;0.843623;0.843623;69.92;69.92;Acerto
2531.txt;Fake;Fake;0.852838;0.852838;70.12;70.12;Acerto
2532.txt;Fake;Fake;0.133672;0.133672;53.34;53.34;Acerto
2533.txt;Fake;Fake;1.613981;1.613981;83.4;83.4;Acerto
2534.txt;Fake;Fake;0.575081;0.575081;63.99;63.99;Acerto
2535.txt;Fake;Fake;1.55961;1.55961;82.63;82.63;Acerto
2536.txt;Fake;Fake;0.701426;0.701426;66.85;66.85;Acerto
2537.txt;Fake;Fake;0.620924;0.620924;65.04;65.04;Acerto
2538.txt;Fake;Fake;0.680973;0.680973;66.4;66.4;Acerto
2539.txt;Fake;Fake;1.236822;1.236822;77.5;77.5;Acerto
2540.txt;Fake;Fake;1.54935;1.54935;82.48;82.48;Acerto
2541.txt;Fake;Verdadeira;-0.142281;0.142281;46.45;53.55;Erro
2542.txt;Fake;Fake;1.062744;1.062744;74.32;74.32;Acerto
2543.txt;Fake;Fake;1.304903;1.304903;78.67;78.67;Acerto
2544.txt;Fake;Fake;2.247263;2.247263;90.44;90.44;Acerto
2545.txt;Fake;Fake;1.278193;1.278193;78.21;78.21;Acerto
2546.txt;Fake;Fake;0.547057;0.547057;63.35;63.35;Acerto
2547.txt;Fake;Fake;1.059474;1.059474;74.26;74.26;Acerto
2548.txt;Fake;Fake;0.919318;0.919318;71.49;71.49;Acerto
2549.txt;Fake;Fake;0.49579;0.49579;62.15;62.15;Acerto
2550.txt;Fake;Fake;0.632835;0.632835;65.31;65.31;Acerto
2551.txt;Fake;Fake;1.873848;1.873848;86.69;86.69;Acerto
2552.txt;Fake;Fake;0.746913;0.746913;67.85;67.85;Acerto
2553.txt;Fake;Fake;0.886982;0.886982;70.83;70.83;Acerto
2554.txt;Fake;Fake;1.581744;1.581744;82.95;82.95;Acerto
2555.txt;Fake;Fake;0.308716;0.308716;57.66;57.66;Acerto
2556.txt;Fake;Fake;1.068198;1.068198;74.43;74.43;Acerto
2557.txt;Fake;Fake;1.547712;1.547712;82.46;82.46;Acerto
2558.txt;Fake;Fake;0.402561;0.402561;59.93;59.93;Acerto
2559.txt;Fake;Fake;1.087088;1.087088;74.78;74.78;Acerto
2560.txt;Fake;Fake;1.196397;1.196397;76.79;76.79;Acerto
2561.txt;Fake;Fake;0.893676;0.893676;70.96;70.96;Acerto
2562.txt;Fake;Fake;1.639705;1.639705;83.75;83.75;Acerto
2563.txt;Fake;Fake;0.601366;0.601366;64.6;64.6;Acerto
2564.txt;Fake;Fake;1.301435;1.301435;78.61;78.61;Acerto
2565.txt;Fake;Fake;1.441446;1.441446;80.87;80.87;Acerto
2566.txt;Fake;Fake;0.590631;0.590631;64.35;64.35;Acerto
2567.txt;Fake;Fake;0.832231;0.832231;69.68;69.68;Acerto
2568.txt;Fake;Fake;1.029944;1.029944;73.69;73.69;Acerto
2569.txt;Fake;Fake;0.904259;0.904259;71.18;71.18;Acerto
2570.txt;Fake;Fake;1.634433;1.634433;83.68;83.68;Acerto
2571.txt;Fake;Fake;0.960805;0.960805;72.33;72.33;Acerto
2572.txt;Fake;Fake;1.037429;1.037429;73.84;73.84;Acerto
2573.txt;Fake;Fake;1.78454;1.78454;85.63;85.63;Acerto
2574.txt;Fake;Fake;1.214939;1.214939;77.12;77.12;Acerto
2575.txt;Fake;Fake;1.357509;1.357509;79.54;79.54;Acerto
2576.txt;Fake;Fake;0.327929;0.327929;58.13;58.13;Acerto
2577.txt;Fake;Verdadeira;-0.038421;0.038421;49.04;50.96;Erro
2578.txt;Fake;Fake;1.430633;1.430633;80.7;80.7;Acerto
2579.txt;Fake;Fake;1.616381;1.616381;83.43;83.43;Acerto
2580.txt;Fake;Fake;0.960006;0.960006;72.31;72.31;Acerto
2581.txt;Fake;Fake;0.43322;0.43322;60.66;60.66;Acerto
2582.txt;Fake;Fake;0.213441;0.213441;55.32;55.32;Acerto
2583.txt;Fake;Fake;1.013613;1.013613;73.37;73.37;Acerto
2584.txt;Fake;Fake;1.324228;1.324228;78.99;78.99;Acerto
2585.txt;Fake;Fake;1.026567;1.026567;73.62;73.62;Acerto
2586.txt;Fake;Fake;0.52456;0.52456;62.82;62.82;Acerto
2587.txt;Fake;Fake;1.056234;1.056234;74.2;74.2;Acerto
2588.txt;Fake;Fake;0.105328;0.105328;52.63;52.63;Acerto
2589.txt;Fake;Fake;1.421966;1.421966;80.56;80.56;Acerto
2590.txt;Fake;Fake;0.417574;0.417574;60.29;60.29;Acerto
2591.txt;Fake;Fake;1.268951;1.268951;78.06;78.06;Acerto
2592.txt;Fake;Fake;1.177824;1.177824;76.46;76.46;Acerto
2593.txt;Fake;Fake;1.782763;1.782763;85.6;85.6;Acerto
2594.txt;Fake;Fake;1.394511;1.394511;80.13;80.13;Acerto
2595.txt;Fake;Fake;1.374112;1.374112;79.8;79.8;Acerto
2596.txt;Fake;Fake;1.554915;1.554915;82.56;82.56;Acerto
2597.txt;Fake;Fake;1.034345;1.034345;73.78;73.78;Acerto
2598.txt;Fake;Fake;1.037361;1.037361;73.83;73.83;Acerto
2599.txt;Fake;Verdadeira;-0.5104;0.5104;37.51;62.49;Erro
2600.txt;Fake;Fake;1.773245;1.773245;85.49;85.49;Acerto
2601.txt;Fake;Fake;0.755043;0.755043;68.03;68.03;Acerto
2602.txt;Fake;Fake;1.219381;1.219381;77.2;77.2;Acerto
2603.txt;Fake;Fake;1.124656;1.124656;75.49;75.49;Acerto
2604.txt;Fake;Fake;0.562874;0.562874;63.71;63.71;Acerto
2605.txt;Fake;Fake;1.143146;1.143146;75.83;75.83;Acerto
2606.txt;Fake;Fake;1.685227;1.685227;84.36;84.36;Acerto
2607.txt;Fake;Fake;0.841856;0.841856;69.89;69.89;Acerto
2608.txt;Fake;Fake;1.33596;1.33596;79.18;79.18;Acerto
2609.txt;Fake;Fake;2.041941;2.041941;88.51;88.51;Acerto
2610.txt;Fake;Fake;0.986078;0.986078;72.83;72.83;Acerto
2611.txt;Fake;Fake;1.135385;1.135385;75.68;75.68;Acerto
2612.txt;Fake;Fake;0.851366;0.851366;70.09;70.09;Acerto
2613.txt;Fake;Fake;0.313959;0.313959;57.79;57.79;Acerto
2614.txt;Fake;Fake;0.435856;0.435856;60.73;60.73;Acerto
2615.txt;Fake;Fake;0.987785;0.987785;72.87;72.87;Acerto
2616.txt;Fake;Fake;1.278477;1.278477;78.22;78.22;Acerto
2617.txt;Fake;Fake;1.326299;1.326299;79.02;79.02;Acerto
2618.txt;Fake;Fake;0.298781;0.298781;57.41;57.41;Acerto
2619.txt;Fake;Fake;1.199848;1.199848;76.85;76.85;Acerto
2620.txt;Fake;Fake;1.541074;1.541074;82.36;82.36;Acerto
2621.txt;Fake;Fake;0.871423;0.871423;70.5;70.5;Acerto
2622.txt;Fake;Fake;0.595727;0.595727;64.47;64.47;Acerto
2623.txt;Fake;Fake;1.029409;1.029409;73.68;73.68;Acerto
2624.txt;Fake;Fake;0.357459;0.357459;58.84;58.84;Acerto
2625.txt;Fake;Fake;1.465467;1.465467;81.24;81.24;Acerto
2626.txt;Fake;Fake;1.297761;1.297761;78.55;78.55;Acerto
2627.txt;Fake;Fake;0.162814;0.162814;54.06;54.06;Acerto
2628.txt;Fake;Fake;1.124093;1.124093;75.47;75.47;Acerto
2629.txt;Fake;Fake;0.438837;0.438837;60.8;60.8;Acerto
2630.txt;Fake;Fake;0.980389;0.980389;72.72;72.72;Acerto
2631.txt;Fake;Fake;1.710672;1.710672;84.69;84.69;Acerto
2632.txt;Fake;Fake;0.816701;0.816701;69.35;69.35;Acerto
2633.txt;Fake;Fake;0.069772;0.069772;51.74;51.74;Acerto
2634.txt;Fake;Fake;1.165951;1.165951;76.24;76.24;Acerto
2635.txt;Fake;Fake;0.889639;0.889639;70.88;70.88;Acerto
2636.txt;Fake;Fake;0.575052;0.575052;63.99;63.99;Acerto
2637.txt;Fake;Fake;0.69268;0.69268;66.66;66.66;Acerto
2638.txt;Fake;Fake;0.642674;0.642674;65.54;65.54;Acerto
2639.txt;Fake;Fake;1.219383;1.219383;77.2;77.2;Acerto
2640.txt;Fake;Fake;0.783666;0.783666;68.65;68.65;Acerto
2641.txt;Fake;Fake;0.036081;0.036081;50.9;50.9;Acerto
2642.txt;Fake;Fake;0.606893;0.606893;64.72;64.72;Acerto
2643.txt;Fake;Fake;1.463568;1.463568;81.21;81.21;Acerto
2644.txt;Fake;Fake;1.198582;1.198582;76.83;76.83;Acerto
2645.txt;Fake;Fake;1.124853;1.124853;75.49;75.49;Acerto
2646.txt;Fake;Fake;0.662812;0.662812;65.99;65.99;Acerto
2647.txt;Fake;Fake;1.027333;1.027333;73.64;73.64;Acerto
2648.txt;Fake;Fake;0.554703;0.554703;63.52;63.52;Acerto
2649.txt;Fake;Fake;1.34897;1.34897;79.4;79.4;Acerto
2650.txt;Fake;Fake;0.625997;0.625997;65.16;65.16;Acerto
2651.txt;Fake;Fake;0.902777;0.902777;71.15;71.15;Acerto
