Palavra;Peso;Classe favorecida
coréia;2.0881913682837254;Fake
através;1.356470359138028;Fake
friboi;1.3538276390302222;Fake
reais;1.1956521353515657;Fake
bolsonaro;1.1834772169540717;Fake
sergio;1.1004057379103465;Fake
esquerda;1.0948727735027004;Fake
poderá;1.0838951290926424;Fake
dória;1.058555769415297;Fake
lula;1.010345994710184;Fake
políticos;1.009193612480774;Fake
dilma;0.9556517988914944;Fake
horas;0.938177169095338;Fake
alegou;0.9304472300356135;Fake
hoje;0.9159119666784191;Fake
folha;0.8982088970626447;Fake
brasil;0.8886050808171976;Fake
palavras;0.8794441052847007;Fake
000;0.8487774033620525;Fake
leia;0.8300198832219393;Fake
esposa;0.810710328176544;Fake
michel;0.8043029492225948;Fake
cadeia;0.8009068839145047;Fake
mais;0.7938420553379567;Fake
temer;0.7620616321883793;Fake
estão;0.7492253140059286;Fake
etc;0.7287747109870617;Fake
petista;0.7177509951655656;Fake
tudo;0.7165017430143997;Fake
teria;0.7076766321560093;Fake
um;0.7016181925615296;Fake
posse;0.6937263962389383;Fake
matéria;0.6888452951033099;Fake
informou;0.6799351201309299;Fake
portal;0.6770701778079398;Fake
revista;0.6717175522277067;Fake
milhões;0.6690144034000388;Fake
moro;0.6663198973074869;Fake
cara;0.6578968746493181;Fake
ontem;0.6538879391960861;Fake
senhor;0.6536287085385486;Fake
irá;0.6384426173999126;Fake
fhc;0.6355479413192737;Fake
fh;0.6292394821182133;Fake
última;0.6231587124237504;Fake
cela;0.6202535480213224;Fake
tal;0.6200361520149222;Fake
impeachment;0.6161037637101762;Fake
fato;0.6151474448168687;Fake
estaria;0.6140232844618327;Fake
