Palavra;Peso;Classe favorecida
00;0.3563226937207593;Fake
000;0.8487774033620525;Fake
000m;2.168404344971009e-19;Fake
001;0.09359578402174817;Fake
01;0.14526348875757708;Fake
011;-0.008224224222228956;Verdadeira
016;0.022504197044670653;Fake
02;0.1038107357704945;Fake
020;-0.0074208951176385415;Verdadeira
03;0.48567732907208716;Fake
034;-0.017979997457563755;Verdadeira
04;0.30209502223629636;Fake
0407;0.0;Neutra
05;0.14953503152130668;Fake
057;-0.01107917478662493;Verdadeira
06;0.1707144031649685;Fake
060;0.06336923436860045;Fake
065;0.05141513544266696;Fake
069;0.05372359009966339;Fake
07;0.2576574936383876;Fake
08;0.21331542788968197;Fake
09;0.29955134580640314;Fake
0h;-0.2327345114125162;Verdadeira
0h30;-0.10864798404658162;Verdadeira
10;-0.07303847299791676;Verdadeira
100;-0.03988328448321278;Verdadeira
1000;0.08604180199703247;Fake
10000;0.0011913197631727454;Fake
101;0.0;Neutra
102;0.0316106477171912;Fake
103;0.17299240604687163;Fake
104;0.013509181560275802;Fake
105;0.13740279721186913;Fake
1057;0.0;Neutra
106;0.1804368994021477;Fake
107;-0.05527422811364645;Verdadeira
108;0.14153775873599972;Fake
109;-0.010760641400314136;Verdadeira
10a;0.1042111425246918;Fake
10h;-0.033039908363419024;Verdadeira
10h30;-0.2126597559678811;Verdadeira
10o;-0.002136472336083008;Verdadeira
11;0.10589766578143943;Fake
110;0.09616192666895297;Fake
111;0.005304326284939643;Fake
112;-0.02386769933341601;Verdadeira
113;0.02893308460302967;Fake
114;-0.0436609567726945;Verdadeira
115;-0.036366085372271165;Verdadeira
116;-0.008791959863861002;Verdadeira
117;-0.12437320587128033;Verdadeira
118;-0.04065084760795029;Verdadeira
119;-0.07526088559174694;Verdadeira
11a;0.01949672923178853;Fake
11h;-0.12127991390488209;Verdadeira
11h30;-0.1475014430415366;Verdadeira
12;-0.18186999986862207;Verdadeira
120;-0.05693362124210088;Verdadeira
121;-0.0278319344732764;Verdadeira
122;0.02023128076315851;Fake
123;0.010241369924730527;Fake
124;-0.057122252469702234;Verdadeira
125;0.11756605609215338;Fake
126;-0.00036995558127980277;Verdadeira
127;0.06363267858718956;Fake
128;0.06206412340279022;Fake
129;0.0054313056358274445;Fake
12a;-0.022110993515204326;Verdadeira
12h;-0.3936301168000502;Verdadeira
12h30;-0.09184101963271907;Verdadeira
13;-0.1487870895905503;Verdadeira
130;0.07998290053284145;Fake
132;0.031367770703515825;Fake
133;0.05512287824993703;Fake
134;0.09326034533678866;Fake
135;0.06773841729033726;Fake
136;-1.2468324983583301e-18;Verdadeira
137;-0.006541794029239029;Verdadeira
138;0.11130564333788602;Fake
139;-0.004852202383464083;Verdadeira
13a;-0.07913456041983596;Verdadeira
13h;-0.11144073865632234;Verdadeira
13h20;-0.03707990940631083;Verdadeira
13h30;-0.048861310768752574;Verdadeira
13o;-0.006541789130227497;Verdadeira
14;0.12736244615185927;Fake
140;-0.09619419440715565;Verdadeira
141;0.15998094068598742;Fake
142;0.03324085216019698;Fake
143;0.02232132318813075;Fake
144;0.09901679909115077;Fake
145;0.021785313452770697;Fake
146;0.007378065271529462;Fake
147;0.21280418110884128;Fake
148;-0.02027851378680959;Verdadeira
149;0.07186501064342632;Fake
14a;0.01410879104067307;Fake
14h;-0.013941147575723244;Verdadeira
14h30;-0.07801280730319901;Verdadeira
14o;-0.014703784139715452;Verdadeira
15;-0.6624314029147123;Verdadeira
150;-0.23972956337211165;Verdadeira
1500;0.14371348738692713;Fake
152;0.07588140202234524;Fake
153;-0.013435671927351551;Verdadeira
154;0.1105288525396304;Fake
1548;0.01986165828995483;Fake
155;-0.02361491479474125;Verdadeira
156;-0.03819800687192418;Verdadeira
157;-0.02060324601224672;Verdadeira
158;0.041314599548924365;Fake
159;-0.005812248062863137;Verdadeira
15a;0.02518598984973222;Fake
15h;-0.2281594679092722;Verdadeira
15h30;-0.07774475422138964;Verdadeira
15k;-1.8295911660692887e-19;Verdadeira
16;-0.2919508422784122;Verdadeira
160;-0.08782647740318557;Verdadeira
1600;0.04440561829234913;Fake
162;0.04581762114224342;Fake
163;-0.027321259749103353;Verdadeira
164;-0.08395995521547313;Verdadeira
165;-0.10802250133295899;Verdadeira
166;-0.008212518434796241;Verdadeira
167;-0.01674986366598658;Verdadeira
168;-0.02008141534154038;Verdadeira
169;-0.006133874103014702;Verdadeira
16h;-0.23235168052578814;Verdadeira
16h15;0.0;Neutra
16h30;-0.02622754476443631;Verdadeira
16o;-0.010594819238860652;Verdadeira
17;-0.3971011004009706;Verdadeira
170;-0.13105595029640424;Verdadeira
171;-1.0842021724855044e-19;Verdadeira
172;-0.004645135836847548;Verdadeira
173;-0.0278285734166419;Verdadeira
174;-0.024734851889456518;Verdadeira
175;-0.017387884543548247;Verdadeira
176;-0.08579139592986436;Verdadeira
178;-0.03544708299891619;Verdadeira
179;0.024203551525201414;Fake
